% Model:              
% Version:            COMSOL 5.4.0.388
% Date:               Jun 13 2019, 17:55
% Dimension:          2
% Nodes:              2500
% Expressions:        2
% Description:        Displacement field, X component, Displacement field, Y component
% Length unit:        m
% X                       Y                        u (m)                    v (m)
0.59                      0.009000000000000001     0.023343923273746986     -0.042946695302056935
0.61                      0.009000000000000001     0.024006755931312226     -0.042403832190994785
0.63                      0.009000000000000001     0.024658118376913073     -0.041757154504017
0.65                      0.009000000000000001     0.025296752405006246     -0.04100760519805047
0.67                      0.009000000000000001     0.02592025532789193      -0.04015858044161982
0.69                      0.009000000000000001     0.026528227676484453     -0.03921216677843959
0.71                      0.009000000000000001     0.027118694248754904     -0.0381715866452935
0.73                      0.009000000000000001     0.027691709775235555     -0.03703992856123248
0.75                      0.009000000000000001     0.028246808323450737     -0.035820042109929666
0.77                      0.009000000000000001     0.028784490440625872     -0.03451473508205369
0.79                      0.009000000000000001     0.02930674894666136      -0.03312678431515176
0.81                      0.009000000000000001     0.02981544528197422      -0.03165572861468817
