% Model:              task3.mph
% Version:            COMSOL 5.4.0.225
% Date:               Jul 20 2019, 14:11
% Dimension:          2
% Nodes:              262
% Expressions:        11
% Description:        Dependent variable u
% Length unit:        m
% X                       Y                        u (K) @ t=0              u (K) @ t=0.1            u (K) @ t=0.2            u (K) @ t=0.3            u (K) @ t=0.4            u (K) @ t=0.5            u (K) @ t=0.6            u (K) @ t=0.7            u (K) @ t=0.8            u (K) @ t=0.9            u (K) @ t=1
0.04330964785156244       0.00537892352213806      350.0000000217232        321.9317751092221        321.9317750814271        321.9317750800471        321.93177507626905       321.93177507715404       321.93177507633055       321.93177507670157       321.93177507646936       321.93177507659243       321.9317750765226
0.04666666666666687       0                        350.00000000357767       316.86312234908814       316.8631223208218        316.8631223194184        316.86312231557633       316.86312231647634       316.86312231563875       316.8631223160162        316.86312231578          316.8631223159051        316.8631223158341
0.006009016747756525      0.06998156160712417      349.51909612364403       376.9902292884614        376.99022928313946       376.9902292828752        376.99022928215163       376.9902292823212        376.99022928216385       376.9902292822347        376.9902292821903        376.99022928221353       376.9902292822002
0                         0.07333333333333329      400                      400                      400                      400                      400                      400                      400                      400                      400                      400                      400
0.004575631330052239      0.07569730718209619      350.1179719192069        378.088690750798         378.0886907467357        378.08869074653404       378.0886907459817        378.0886907461112        378.08869074599096       378.0886907460451        378.0886907460112        378.088690746029         378.0886907460188
0                         0.08                     400                      400                      400                      400                      400                      400                      400                      400                      400                      400                      400
0.049972380039842834      0.005375995294563964     349.99999999789605       311.64488033362437       311.6448803052021        311.6448803037909        311.6448802999276        311.64488030083265       311.64488029999046       311.64488030036995       311.64488030013246       311.6448803002581        311.6448803001867
0.05333333333333351       0                        349.9999999867082        306.86311672042893       306.8631166921606        306.8631166907571        306.8631166869148        306.86311668781497       306.8631166869772        306.8631166873547        306.86311668711846       306.86311668724346       306.8631166871723
0.056648816730625086      0.005390298486157539     349.99999993658315       301.91861711450633       301.9186170866997        301.9186170853191        301.9186170815396        301.91861708242504       301.91861708160087       301.9186170819722        301.9186170817399        301.9186170818629        301.9186170817929
0.06000000000000016       0                        349.9999997236219        297.4341998800536        297.43419985301875       297.43419985167645       297.43419984800187       297.4341998488628        297.4341998480615        297.43419984842257       297.43419984819667       297.4341998483161        297.4341998482481
0.006666666666666665      0.08000000000000002      346.94206954007205       362.12936516361765       362.12936515772185       362.129365157429         362.12936515662733       362.12936515681514       362.12936515664074       362.1293651567193        362.1293651566702        362.129365156696         362.12936515668116
0.06332522165594076       0.0053919950970947985    349.99999883076526       292.7648927973114        292.7648927713396        292.76489277005004       292.76489276651995       292.764892767347         292.764892766577         292.7648927669239        292.7648927667071        292.7648927668219        292.7648927667565
0.0666666666666668        0                        349.99999447282386       288.55257032111746       288.5525702964982        288.5525702952757        288.55257029192944       288.5525702927135        288.55257029198356       288.55257029231245       288.55257029210696       288.5525702922157        288.5525702921538
0.0699988807883457        0.005358182682799848     349.9999805238148        284.1523354913756        284.15233546837595       284.152335467234         284.15233546410786       284.15233546484023       284.15233546415834       284.1523354644655        284.1523354642736        284.1523354643753        284.15233546431733
0.07333333333333344       0                        349.9999071551797        280.1712347335047        280.17123471237727       280.1712347113281        280.17123470845655       280.1712347091293        280.1712347085028        280.17123470878516       280.1712347086089        280.17123470870234       280.17123470864914
0.010202473235838002      0.07517164097002349      349.8601016712524        355.84495985517384       355.84495984623896       355.8449598457953        355.8449598445806        355.8449598448651        355.84495984460074       355.8449598447199        355.8449598446453        355.84495984468464       355.84495984466224
0.01333333333333333       0.08000000000000002      347.1789832135237        336.13360941709306       336.13360940555816       336.1336094049854        336.1336094034172        336.1336094037844        336.13360940344313       336.1336094035969        336.13360940350077       336.1336094035516        336.1336094035226
0.07666973280782176       0.005300180071560248     349.99967007803997       276.0199474814336        276.01994746241235       276.0199474614678        276.01994745888237       276.0199474594881        276.01994745892415       276.0199474591782        276.0199474590195        276.01994745910366       276.0199474590558
0.08000000000000008       0                        349.99918285661306       272.2213409225725        272.2213409058612        272.2213409050313        272.22134090275983       272.22134090329206       272.22134090279644       272.22134090301967       272.2213409028803        272.22134090295424       272.22134090291223
0.0833222742229203        0.0051546991831758395    349.99418023664884       268.3057885507163        268.30578853649234       268.3057885357859        268.3057885338524        268.3057885343055        268.3057885338837        268.3057885340736        268.30578853395497       268.30578853401806       268.30578853398214
0.08666666666666673       0                        350.0089066890248        264.61448152035143       264.6144815087871        264.6144815082128        264.6144815066409        264.61448150700926       264.6144815066662        264.6144815068207        264.6144815067242        264.6144815067754        264.61448150674636
0.016486485045922265      0.07463341036075895      349.8466719065519        335.12722072485946       335.1272207108184        335.1272207101211        335.1272207082124        335.1272207086594        335.12722070824384       335.12722070843114       335.12722070831416       335.1272207083761        335.12722070834076
0.019999999999999997      0.08000000000000002      347.22164974851506       314.7044006774071        314.70440066073695       314.7044006599093        314.7044006576431        314.70440065817377       314.7044006576803        314.7044006579026        314.70440065776376       314.70440065783737       314.70440065779536
0.0899274224788188        0.004943845174680131     349.96207928808593       260.9372923240108        260.93729231516363       260.9372923147242        260.93729231352154       260.9372923138034        260.93729231354104       260.9372923136591        260.93729231358526       260.9372923136245        260.9372923136021
0.09333333333333337       0                        350.44622080368964       257.24604588424666       257.24604587833534       257.24604587804174       257.2460458772383        257.2460458774265        257.2460458772512        257.2460458773302        257.24604587728084       257.246045877307         257.24604587729203
0.09547566685964519       0.004342039045011712     349.31289004530174       254.89238009479408       254.89238009076652       254.8923800905665        254.892380090019         254.8923800901473        254.89238009002787       254.89238009008167       254.89238009004802       254.89238009006584       254.89238009005572
0.1                       0                        250                      250                      250                      250                      250                      250                      250                      250                      250                      250                      250
0.02315877460595164       0.07453451669664185      349.84855335002544       315.71726835975136       315.717268340889         315.71726833995257       315.71726833738836       315.71726833798886       315.71726833743054       315.7172683376821        315.7172683375251        315.71726833760835       315.7172683375608
0.02666666666666666       0.08000000000000002      347.2268143314686        296.38480010027604       296.38480007919844       296.384800078152         296.3848000752867        296.3848000759577        296.38480007533377       296.3848000756149        296.38480007543933       296.3848000755324        296.3848000754794
0.1                       0.00666666666666652      249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997
0.029856062288253007      0.07451153618388939      349.84850004611104       298.73401845865914       298.7340184357877        298.7340184346522        298.7340184315431        298.7340184322711        298.73401843159405       298.7340184318992        298.73401843170865       298.7340184318096        298.7340184317522
0.033333333333333326      0.08000000000000002      347.2268295469864        280.5158770412415        280.5158770166772        280.5158770154578        280.5158770121184        280.5158770129003        280.5158770121732        280.5158770125008        280.5158770122961        280.51587701240464       280.5158770123429
0.1                       0.013333333333333199     249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997
0.09411787684701878       0.010099485512433977     350.8771108565506        256.2636464574537        256.26364645223003       256.2636464519706        256.2636464512605        256.26364645142695       256.2636464512721        256.26364645134186       256.26364645129826       256.26364645132134       256.2636464513082
0.03655923499525783       0.07453852525423767      349.8490824902892        283.86425315784976       283.8642531319752        283.86425313069077       283.8642531271733        283.86425312799696       283.86425312723094       283.864253127576         283.86425312736037       283.86425312747474       283.8642531274097
0.039999999999999994      0.08000000000000002      347.2245313386714        266.752971207687         266.7529711807089        266.75297117936975       266.7529711757022        266.75297117656095       266.7529711757624        266.7529711761221        266.75297117589724       266.75297117601656       266.75297117594874
0.09458720706802777       0.017029640261973827     350.8052508050671        255.54211607405333       255.5421160692425        255.54211606900353       255.5421160683496        255.5421160685028        255.54211606836023       255.54211606842452       255.54211606838433       255.54211606840553       255.54211606839343
0.1                       0.01999999999999988      249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997
0.04329341608192793       0.0745970264036251       349.8499467215395        270.8657003623152        270.86570033457434       270.86570033319725       270.86570032942603       270.86570033030904       270.86570032948794       270.8657003298579        270.8657003296266        270.86570032974936       270.86570032967956
0.04666666666666666       0.08000000000000002      347.2195621346071        254.9121492627803        254.91214923456712       254.91214923316667       254.91214922933128       254.91214923022915       254.91214922939412       254.9121492297704        254.91214922953517       254.91214922966006       254.91214922958912
0.0945714592742702        0.023477113988333978     350.7287737614242        255.23904995708554       255.2390499522617        255.2390499520221        255.23904995136652       255.23904995152017       255.23904995137715       255.23904995144153       255.23904995140126       255.23904995142263       255.23904995141046
0.1                       0.02666666666666656      249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997
0.04993969437462259       0.07456916172195795      349.8485760268182        260.03200159089425       260.0320015625241        260.0320015611158        260.0320015572592        260.0320015581621        260.0320015573224        260.03200155770077       260.0320015574642        260.0320015575898        260.0320015575184
0.05333333333333332       0.08000000000000002      347.22324519097066       244.91215992223502       244.91215989401977       244.9121598926191        244.91215988878355       244.9121598896816        244.91215988884633       244.91215988922264       244.9121598889874        244.91215988911236       244.91215988904148
0.09455482139858438       0.030059852129877777     350.7466386735907        254.7962981668235        254.7962981619862        254.79629816174585       254.79629816108834       254.79629816124233       254.79629816109903       254.7962981611636        254.7962981611232        254.79629816114456       254.7962981611324
0.1                       0.033333333333333236     249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997
0.05659538082088553       0.07452017913527603      349.8479688025963        251.0188349218222        251.01883489405677       251.01883489267837       251.01883488890408       251.01883488978783       251.0188348889658        251.0188348893361        251.01883488910457       251.01883488922752       251.01883488915772
0.05999999999999999       0.08000000000000002      347.2264431934816        236.75301628158124       236.7530162545972        236.75301625325764       236.75301624958965       236.7530162504485        236.7530162496496        236.75301625000952       236.75301624978445       236.75301624990394       236.75301624983612
0.09458493858220089       0.03669413000815921      350.7005144140223        254.1484656129039        254.14846560809414       254.14846560785517       254.14846560720153       254.14846560735467       254.14846560721227       254.14846560727645       254.14846560723626       254.14846560725746       254.1484656072453
0.1                       0.03999999999999992      249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997
0.06324859370067429       0.07449038284722247      349.8476568283882        243.80812899705572       243.8081289711038        243.80812896981539       243.80812896628768       243.80812896711373       243.80812896634538       243.8081289666916        243.8081289664751        243.80812896658995       243.80812896652466
0.06666666666666665       0.08000000000000002      347.2264502107045        230.51602759852764       230.51602757395446       230.51602757273452       230.5160275693942        230.51602757017636       230.51602756944882       230.5160275697767        230.51602756957175       230.51602756968046       230.51602756961873
0.0946245971461605        0.0433403487868863       350.63016380937          253.29743065091387       253.29743064614016       253.29743064590312       253.29743064525428       253.29743064540625       253.297430645265         253.29743064532872       253.29743064528887       253.29743064530996       253.2974306452978
0.1                       0.0466666666666666       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997
0.06986212121867756       0.07448121264402317      349.84686362436014       238.53442006972315       238.53442004669435       238.5344200455511        238.5344200424207        238.53442004315374       238.5344200424719        238.5344200427792        238.53442004258707       238.534420042689         238.53442004263107
0.07333333333333332       0.08000000000000002      347.2221430955572        226.38509802787098       226.38509800678318       226.3850980057363        226.3850980028698        226.38509800354106       226.3850980029166        226.38509800319807       226.38509800302214       226.38509800311536       226.38509800306255
0.09465557925820182       0.04998678143145441      350.569676833334         252.19524602910187       252.1952460243565        252.1952460241209        252.19524602347587       252.19524602362688       252.19524602348653       252.1952460235498        252.1952460235102        252.1952460235312        252.19524602351922
